node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
INF_0072,infrastructure,amenity:drinking_water,,infrastructure,E01648,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,2.9831231126586477,3,1,4,14,40.769258582994496,-73.97693105379267,21,14021
INF_0121,infrastructure,amenity:drinking_water,,infrastructure,E06350,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,30.164464702134662,3,1,4,14,40.76905165129022,-73.97671843681367,23,14023
INF_0123,infrastructure,amenity:drinking_water,,infrastructure,E06394,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,34.70351710489107,3,1,4,14,40.76810314143065,-73.9777198790063,27,14027
INF_0001,infrastructure,tourism:artwork,,infrastructure,E05531,7th Regiment Memorial,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,7th Regiment Memorial,7th Regiment Memorial,,,False,16.250740049947087,4,1,5,15,40.7738991291297,-73.97637257296093,2,15002
INF_0222,infrastructure,leisure:pitch,,infrastructure,E08502,Pitch,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Pitch,Pitch,,,False,22.001950140444386,4,1,5,15,40.7738258,-73.9752585,5,15005
INF_0036,infrastructure,amenity:drinking_water,,infrastructure,E08930,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,0.8829690842360698,4,1,5,15,40.77371866595079,-73.97593099761023,9,15009
INF_0316,infrastructure,barrier:gate,,infrastructure,E08749,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,7.728526480476453,4,1,5,15,40.773369139705636,-73.97721924622154,10,15010
INF_0003,infrastructure,leisure:playground,,infrastructure,E08749,Adventure Playground,useful_infrastructure; leisure:playground,infrastructure,#e377c2,Recreation,leisure,playground,Recreation,Recreation,Adventure Playground,Adventure Playground,,,False,23.317486101494847,4,1,5,15,40.7733086,-73.9772269,11,15011
INF_0267,infrastructure,leisure:playground,,infrastructure,E13614,Tarr-Coyne Tots Playground,useful_infrastructure; leisure:playground,infrastructure,#e377c2,Recreation,leisure,playground,Recreation,Recreation,Tarr-Coyne Tots Playground,Tarr-Coyne Tots Playground,,,False,10.749859955102815,4,1,5,15,40.77321539999999,-73.9770323,12,15012
INF_0134,infrastructure,tourism:artwork,,infrastructure,E08741,Giuseppe Mazzini,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Giuseppe Mazzini,Giuseppe Mazzini,,,False,5.427684632547855,4,1,5,15,40.772995897360516,-73.97663220482038,16,15016
